country,code,year,trade,gini,unemploy,gdp_pc,inflation,tax
France,FRA,2018,66.80226078122658,32.4,9.018,38062.443597151716,1.85081508315502,24.252357216476376
France,FRA,2019,66.4289771741449,31.2,8.415,38705.2072997191,1.10825492288294,24.56937461074445
Georgia,GEO,1996,45.696549050019385,37.1,11.5,1187.1232062189954,39.3574999987146,7.876437895825256
Georgia,GEO,1997,57.75306592899953,40.7,11.5,1354.783522020656,7.08761762948726,10.6237239017322
Georgia,GEO,1998,53.56666932159854,41.2,14.53,1431.7933606922363,3.56680781278783,10.01573047131678
Georgia,GEO,1999,57.1518743274472,40.1,13.8,1503.4629877673394,19.1926758218895,11.191278423624464
Georgia,GEO,2000,62.66139564130992,40.5,10.82,1561.1986763884659,4.06396201382596,11.401433039334115
Georgia,GEO,2001,63.32992508240935,39.6,11.16,1661.8301910642062,4.64604442058634,11.804674857656577
Georgia,GEO,2002,71.62912553648069,37.2,12.59,1768.597011688804,5.58783730000794,11.621512875536482
Georgia,GEO,2003,77.63337653693908,36.7,11.51,1977.4614333874113,0.837734531536568,10.922338599502575
Georgia,GEO,2004,79.04074590556071,36.2,12.62,2105.0047284379875,5.65632636191132,15.102348258909032
Georgia,GEO,2005,84.52959753547488,37.4,13.81,2321.6008428516348,8.24709043114158,16.542608575927854
Georgia,GEO,2006,89.12537436819701,36.9,13.57,2554.8125350391365,9.16096508394497,18.57011290872305
Georgia,GEO,2007,88.39341406866033,38.1,13.28,2891.13702331846,9.24489745592404,20.95528957619838
Georgia,GEO,2008,86.29822436814872,38.5,17.87,2970.1585828242805,9.99948761552747,24.22450445349648
Georgia,GEO,2009,78.19303903035694,38.2,20.71,2887.256079359217,1.7275146113791,23.509396197042143
Georgia,GEO,2010,81.6733870603639,39.5,20.203,3090.0651366231846,7.11017897486099,21.1106596234593
Georgia,GEO,2011,85.4659350932986,39.6,19.632,3362.103003196797,8.5429333333333,22.661404651519216
Georgia,GEO,2012,89.73488009463382,39,19.653,3609.7807986259963,-0.943658853270964,23.088504140230132
Georgia,GEO,2013,93.81391378955315,38.6,19.416,3806.5060064905138,-0.512058410947092,22.06259866840552
Georgia,GEO,2014,94.95069793833932,37.6,17.439,3960.3508009190073,3.06881210379543,22.053149233970114
Georgia,GEO,2015,97.01631150862569,36.5,16.506,4086.6223465964995,4.00357820695097,22.347748060669215
Georgia,GEO,2016,94.92625283834433,36.6,16.604,4225.091549048057,2.13492713939121,23.042431537767076
Georgia,GEO,2017,102.58427769714562,37.9,13.939,4442.50744127374,6.03531725272117,23.01354620222545
Georgia,GEO,2018,109.84774055626569,36.4,12.667,4713.653548453031,2.6152447139767,22.04786882355534
Georgia,GEO,2019,117.81008023971363,35.9,11.565,4975.811481948139,4.85289821696723,22.897277078389575
Germany,DEU,1996,43.90358609532501,28,8.822,32229.47787028491,1.44972701963239,10.861264363048077
Germany,DEU,1997,48.38032106873799,28.2,9.861,32779.28024688788,1.93937198922729,10.69647922406694
Germany,DEU,1998,50.15546577923266,28.3,9.787,33461.31922021569,0.911183535014403,10.792707349516148
Germany,DEU,1999,51.519227436406,29,8.854,34152.003225622415,0.585433064230783,11.410140378579268
Germany,DEU,2000,59.195599297540454,28.9,7.917,35087.089155951464,1.44026838719741,11.591944254012377
Germany,DEU,2001,59.55928636821177,29.9,7.773,35601.362835165324,1.98385731334471,10.846902570222225
Germany,DEU,2002,58.332568724812894,29.8,8.482,35460.41213364216,1.42080615551526,10.71230030224525
Germany,DEU,2003,58.91454429425074,29.8,9.779,35252.974513497706,1.03422218628562,10.855003324690625
Germany,DEU,2004,62.90649094651641,30.2,10.727,35670.48702761519,1.66573696655992,10.2875222412169
Germany,DEU,2005,66.95310249343211,31.7,11.193,36006.85781059231,1.54691114751328,10.48544315499353
Germany,DEU,2006,72.7591934646234,31,10.277,37437.39187833371,1.57742642840563,10.6677987618396
Germany,DEU,2007,74.8838416816798,31.2,8.732,38570.91464081522,2.29834400700951,11.143803447380636
Germany,DEU,2008,76.10141021284484,30.8,7.508,38996.14340762695,2.62837981637219,11.280969077260512
Germany,DEU,2009,66.11526853102566,30.5,7.88,36927.19202870133,0.312739007368447,11.386164409368023
Germany,DEU,2010,73.86264076512006,30.2,7.043,38517.43978601087,1.1038103778926,10.96932027552885
Germany,DEU,2011,78.40731346053767,30.6,5.967,40712.65773630418,2.07517283735874,11.254708294969449
Germany,DEU,2012,79.30048779094265,31.1,5.372,40829.03489380498,2.00848884782956,11.394417900427799
Germany,DEU,2013,77.56438157417482,31.5,5.316,40875.02628031783,1.50472330251876,11.385005998716553
Germany,DEU,2014,76.83033127091589,30.8,4.979,41588.076387559195,0.906794000434246,11.26046422816791
Germany,DEU,2015,77.79135676437704,31.7,4.612,41911.01098510537,0.514426137125456,11.257498420105975
Germany,DEU,2016,75.98458751419695,31.4,4.104,42528.06371078278,0.491747008445174,11.07921817459349
Germany,DEU,2017,77.56663694684354,31.3,3.781,43520.186421299615,1.50949485109628,11.199900333522459
Germany,DEU,2018,79.22765969228797,31.9,3.384,43874.01309360915,1.73216879766942,11.23766805687922
Germany,DEU,2019,79.13374711447064,31.8,3.163,44207.632051951376,1.44565976888253,11.214383515140543
Luxembourg,LUX,1996,195.63690664814965,29,3.286,74916.50676722715,1.18385968843571,24.697387080026793
Luxembourg,LUX,1997,212.08875793191737,29.6,2.527,77993.0585335828,1.36751261207943,25.24415232739704
Luxembourg,LUX,1998,236.57001498757543,30.6,2.763,82170.23992125779,0.958570110494674,25.601176944394403
Luxembourg,LUX,1999,239.92249957769118,30,2.39,87695.33957586001,1.02519676474932,25.100328459176495
Luxembourg,LUX,2000,272.4123268453483,30.1,2.345,92527.71180696423,3.15076707022592,25.472596895496558
Luxembourg,LUX,2001,270.76563044325707,30.9,1.805,94243.70732339172,2.66382110579103,24.984894192766138
Luxembourg,LUX,2002,250.6891981614239,31,2.621,96269.57938512157,2.07408613571643,24.781702871533728
Luxembourg,LUX,2003,244.9779460605285,30.2,3.675,97597.99691765533,2.04984030563518,24.630096128509212
Luxembourg,LUX,2004,265.22688485563737,30.2,5.113,100292.56847916194,2.22567916428889,24.042573185433227
Luxembourg,LUX,2005,284.07747686947846,30.8,4.488,101222.0456644007,2.48769665164088,25.335555453841565
Luxembourg,LUX,2006,305.87954748852565,30.9,4.731,105614.17986395175,2.66631494577069,23.929841204305657
Luxembourg,LUX,2007,307.485020085196,31.1,4.065,112417.87845800121,2.31245861786127,24.380345488908997
Luxembourg,LUX,2008,292.2134807834298,32.6,5.06,110094.79233874493,3.40187963025571,23.55571077401778
Luxembourg,LUX,2009,263.5327015416839,31.2,5.194,104574.34988768162,0.368041997888887,23.8391085158098
Luxembourg,LUX,2010,293.6718769069386,30.5,4.423,106544.05724172312,2.2736791162154,23.81784043781159
Luxembourg,LUX,2011,308.7144538741623,32.1,5.122,105290.24904882653,3.41068341068342,23.987047854064482
Luxembourg,LUX,2012,311.78683520468604,34.3,5.03,104487.74423870388,2.66284165508021,24.4278271542178
Luxembourg,LUX,2013,320.53350631676807,32,6.045,105338.95605928342,1.73403963519162,24.552266956073215
Luxembourg,LUX,2014,333.42885319668034,31.2,6.044,105583.93701412271,0.628543985440717,24.74515711338668
Luxembourg,LUX,2015,351.13197436149005,32.9,6.796,105462.01258442263,0.474743161437779,23.321859372663564
Luxembourg,LUX,2016,348.43740937688875,31.7,6.669,108351.45215893305,0.290833333333317,23.767509674945597
Luxembourg,LUX,2017,353.7939919803034,34.5,5.523,107142.12755644266,1.73079959118887,24.518147052893525
Luxembourg,LUX,2018,362.42390450058485,35.4,5.589,106376.78356576333,1.5281952430738,26.644593907064074
Luxembourg,LUX,2019,382.3483692030032,34.2,5.592,107350.62668727605,1.74332075653848,26.466217093609867
United Kingdom,GBR,1996,52.24380846885636,35.3,8.189,33777.528089328545,2.85178236397749,23.06501258800892
United Kingdom,GBR,1997,50.97340584536477,35.7,7.072,35349.79065296448,2.20114313510882,23.737131649194204
United Kingdom,GBR,1998,49.3364553465645,36.6,6.198,36446.26168576998,1.82056163731557,25.025112643853138
United Kingdom,GBR,1999,49.631439504317285,36.8,6.042,37435.88444409968,1.7529508005142,25.481668788245937
United Kingdom,GBR,2000,52.521730598717966,38.8,5.558,38921.89657426154,1.18295624210408,26.089164498451968
United Kingdom,GBR,2001,52.82161350975234,37.1,4.696,39769.87195885054,1.53234960272418,25.742255493462814
United Kingdom,GBR,2002,51.37963420703871,35.1,5.037,40312.98240218305,1.52040245947455,24.961580072500563
United Kingdom,GBR,2003,50.23952305190832,34.9,4.807,41390.60621146857,1.37650038542013,24.55540420905737
United Kingdom,GBR,2004,50.451711240499094,34.8,4.594,42167.35571404891,1.39039756680422,25.152328265427325
United Kingdom,GBR,2005,52.680716840548236,35.5,4.835,43023.22769414856,2.0891364902507,25.488132609925014
United Kingdom,GBR,2006,56.914427480812314,35.9,5.411,43724.89571701608,2.4556616643929,25.77039451427205
United Kingdom,GBR,2007,52.96435343708586,34.4,5.342,44524.570705286074,2.38656150773327,25.99471591059906
United Kingdom,GBR,2008,56.69860692771085,35.4,5.705,44065.615661517244,3.52140856342539,26.458082329317268
United Kingdom,GBR,2009,55.004384033595,35.1,7.627,41712.83190382709,1.96173173560109,24.172747710811322
United Kingdom,GBR,2010,59.27277497228876,33.7,7.924,42311.432986021915,2.49265472467065,25.273397892391486
United Kingdom,GBR,2011,63.56540097077451,33.2,8.169,42459.96299984189,3.8561124468282,25.83493224426948
United Kingdom,GBR,2012,62.22598273341834,33.1,8.25,42802.02078340422,2.5732347965453,25.103065562243433
United Kingdom,GBR,2013,61.99911191499085,32.7,7.704,43281.57642007211,2.29166666666659,25.136342380909877
United Kingdom,GBR,2014,59.09480411959319,33.1,6.363,44336.53786132296,1.45112016293279,24.880510965286703
